instrumento,bjd,vrad,svrad
HIRES-pre04,2451341.121418892,26.0,1.779262
HIRES,2451341.121418892,21.2,3.7
HIRES,2451341.1214228924,24.33,1.79
HIRES,2451341.121592907,27.4,4.3
HIRES,2451368.9447680744,-14.9,4.7
HIRES-pre04,2451368.945076096,-25.58,1.954586
HIRES,2451368.945076096,-30.8,4.0
HIRES,2451368.945078096,-25.37,2.11
HIRES,2451372.1379836733,-68.9,5.4
HIRES,2451372.138423702,-66.81,2.29
HIRES,2451372.1384277022,-72.5,4.3
HIRES-pre04,2451372.1384277022,-67.23,2.200213
HIRES-pre04,2451373.059970221,53.38,1.897833
HIRES,2451373.059970221,48.1,3.9
HIRES,2451373.0599742215,52.62,1.9
HIRES,2451373.060044226,63.4,4.2
HIRES,2451374.059108892,57.3,3.8
HIRES,2451374.0593289062,46.5,3.5
HIRES,2451374.0593289062,52.3,1.79
HIRES-pre04,2451374.0593289062,51.87,1.791134
HIRES,2451410.0176777444,-46.9,4.1
HIRES,2451410.0179347494,-54.4,3.3
HIRES-pre04,2451410.0179347494,-48.76,1.640514
HIRES,2451410.0179377496,-47.3,1.78
HIRES,2451410.968624356,-66.3,3.8
HIRES-pre04,2451410.968624356,-60.7,1.88976
HIRES,2451410.968626356,-60.86,1.71
HIRES,2451410.9686963577,-58.2,4.3
HIRES,2451411.9387140004,67.8,4.7
HIRES,2451411.9389040032,71.28,1.92
HIRES,2451411.9389080033,62.7,4.1
HIRES-pre04,2451411.9389080033,68.3,2.04814
HIRES,2451438.8136562663,-81.2,3.4
HIRES-pre04,2451438.8136562663,-76.43,1.776379
HIRES,2451438.8136582663,-73.41,1.81
HIRES,2451438.8136582663,-75.1,4.5
HIRES-pre04,2451543.6868305164,-13.58,1.815251
HIRES,2451543.686833516,-14.72,1.82
HIRES,2451543.6873234776,-4.4,5.8
HIRES-pre04,2451543.690869199,-11.59,1.811578
HIRES,2451543.6908731987,-10.31,1.79
HIRES,2451543.6913231635,7.2,6.2
HIRES,2451550.688419323,-31.06,1.53
HIRES-pre04,2451550.6884243223,-30.58,1.550131
HIRES,2451550.688799295,-13.1,5.8
HIRES,2451550.6927990033,-21.9,5.7
HIRES,2451550.692819002,-31.48,1.76
HIRES-pre04,2451550.6928220014,-31.06,1.818355
HIRES,2451551.693317559,-81.68,1.99
HIRES,2451551.693317559,-86.4,3.8
HIRES-pre04,2451551.693317559,-84.02,1.8938
HIRES,2451551.6937275296,-69.8,6.4
HIRES,2451551.698477187,-78.32,1.55
HIRES-pre04,2451551.698479187,-77.79,1.504456
HIRES,2451551.698479187,-80.2,2.9
HIRES,2451551.698727169,-61.8,5.9
HIRES-pre04,2451552.7004225827,41.63,1.966319
HIRES,2451552.7004225827,39.2,3.9
HIRES,2451552.7004265827,42.83,2.0
HIRES,2451552.700656567,59.6,6.3
HIRES,2451679.105856463,-25.73,1.64
HIRES-pre04,2451679.1058604633,-27.76,1.694866
HIRES,2451679.1058604633,-32.6,3.5
HIRES,2451679.1062864987,-30.1,4.4
HIRES,2451703.1223295014,-72.9,4.1
