instrumento,bjd,vrad,svrad
ELODIE,681.5333946030587,-29.334268943116978,9.749162
ELODIE,681.5333946030587,-42.530609645780274,10.0
ELODIE,1027.5461060530506,44.46812335422008,11.0
ELODIE,1027.5461060530506,43.864464056882284,11.012725
ELODIE,1027.5587065983564,48.864464056882284,9.124825
ELODIE,1027.5587065983564,49.46812335422008,9.0
ELODIE,1032.6169093954377,5.064445056882039,9.239779
ELODIE,1056.5206960760988,79.4643570568828,8.764591
ELODIE,1056.5206960760988,73.46801635422024,9.0
ELODIE,1087.4162006042898,37.16424405688166,9.736213
ELODIE,1087.4162006042898,33.467903354220184,10.0
ELODIE,1123.4008754068054,85.46777135421915,11.0
ELODIE,1123.4008754068054,91.06411205688208,11.020628
ELODIE,1153.2479249299504,-67.83599694311808,18.039849
ELODIE,1154.2314382372424,13.4676583542191,13.0
ELODIE,1154.2314382372424,15.163999056882393,13.289595
ELODIE,1155.2232509111054,116.16399605688319,17.21309
ELODIE,1156.2254627957009,-53.532348645779635,10.0
ELODIE,1156.2254627957009,-51.83600794311816,10.088837
ELODIE,1158.2310869558714,56.16398505688311,10.804749
ELODIE,1158.2310869558714,54.467644354219814,11.0
HIRES-pre04,1341.1214188919403,26.0,1.779262
HIRES,1341.1214188919403,21.2,3.7
HIRES,1341.1214228924364,24.33,1.79
HIRES,1341.1215929067694,27.4,4.3
ELODIE,1352.5896412157454,90.46327305688327,10.511027
ELODIE,1352.5896412157454,85.46693235421888,11.0
ELODIE,1353.5885210582055,-32.53307164578065,10.0
ELODIE,1353.5885210582055,-27.536730943118084,9.614954
ELODIE,1354.5917007019743,-42.53307464577985,12.0
ELODIE,1354.5917007019743,-37.536733943117284,11.539796
COR,1355.8464994700626,98.44100850701078,7.0
COR,1355.8586004190147,81.44100850701078,7.0
ELODIE,1358.5986129492521,14.463251056883099,15.197542
ELODIE,1359.596089118626,73.46690635421918,12.0
ELODIE,1359.596089118626,78.46324705688174,11.693885
ELODIE,1360.5722630140372,0.4632440568825471,13.866464
ELODIE,1360.5722630140372,-4.5330966457800175,14.0
ELODIE,1361.5738381627016,-59.533100645779555,9.0
ELODIE,1361.5738381627016,-54.53675994311699,8.922472
ELODIE,1362.5920138363726,71.46323605688166,9.414728
ELODIE,1362.5920138363726,66.46689535421909,9.0
COR,1364.8400781550445,-79.55899149298922,9.0
COR,1364.8520790212788,-78.55899149298922,9.0
COR,1365.8375498522073,32.44100850701078,10.0
COR,1365.849650716409,42.44100850701078,11.0
COR,1366.8440213962458,89.44100850701078,8.0
COR,1366.8561222492717,70.44100850701078,8.0
COR,1367.8660932001658,-58.55899149298922,14.0
HIRES,1368.9447680744343,-14.9,4.7
HIRES-pre04,1368.9450760958716,-25.58,1.954586
HIRES,1368.9450760958716,-30.8,4.0
HIRES,1368.9450780958869,-25.37,2.11
HIRES,1372.1379836732522,-68.9,5.4
HIRES,1372.138423702214,-66.81,2.29
HIRES-pre04,1372.1384277022444,-67.23,2.200213
HIRES,1372.1384277022444,-72.5,4.3
HIRES-pre04,1373.0599702210166,53.38,1.897833
HIRES,1373.0599702210166,48.1,3.9
HIRES,1373.0599742215127,52.62,1.9
HIRES,1373.060044225771,63.4,4.2
HIRES,1374.05910889199,57.3,3.8
HIRES,1374.059328906238,46.5,3.5
HIRES-pre04,1374.059328906238,51.87,1.791134
HIRES,1374.059328906238,52.3,1.79
COR,1374.8616600483656,-21.558991492989218,13.0
COR,1374.8737608105876,-30.558991492989218,11.0
COR,1380.8116197190247,110.44100850701078,11.0
COR,1380.8237204100005,86.44100850701078,12.0
COR,1381.7879751808941,-28.558991492989218,9.0
COR,1381.800075860694,-23.558991492989218,9.0
COR,1382.805231853854,-51.55899149298922,12.0
COR,1382.8173325187527,-52.55899149298922,10.0
COR,1383.7921857461333,88.44100850701078,10.0
COR,1383.804286398925,81.44100850701078,11.0
COR,1384.7866389420815,89.44100850701078,11.0
COR,1384.7987395813689,66.44100850701078,10.0
COR,1385.7813910306431,-63.55899149298922,9.0
COR,1385.7934916559607,-48.55899149298922,9.0
COR,1386.780742214527,1.441008507010781,9.0
COR,1386.7928428263403,16.441008507010782,9.0
COR,1389.7889892272651,-55.55899149298922,11.0
COR,1389.8011897993274,-40.55899149298922,11.0
ELODIE,1390.5251236176118,27.26313405688278,11.503571
ELODIE,1390.5251236176118,31.466793354219124,12.0
COR,1390.7627345034853,79.44100850701078,9.0
COR,1390.7749350629747,66.44100850701078,9.0
ELODIE,1391.5722713223659,85.46678935421959,11.0
ELODIE,1391.5722713223659,81.26313005688324,10.82327
COR,1391.7615797473118,41.44100850701078,8.0
COR,1391.7736802869476,39.44100850701078,8.0
ELODIE,1392.4807116067968,-56.736872943117774,11.071184
ELODIE,1392.4807116067968,-52.53321364577961,11.0
COR,1392.7501233168878,-53.55899149298922,8.0
COR,1392.7621238389984,-79.55899149298922,7.0
COR,1393.766466846224,19.441008507010782,9.0
COR,1393.778467351105,20.441008507010782,9.0
COR,1394.7601081500761,87.44100850701078,9.0
COR,1394.772108640056,95.44100850701078,10.0
COR,1395.8034501587972,13.441008507010782,9.0
COR,1395.8154506287538,-6.558991492989219,11.0
COR,1398.8325641574338,67.44100850701078,14.0
COR,1399.793897839263,-95.55899149298922,12.0
COR,1400.8136321846396,-2.558991492989219,13.0
COR,1401.7574627562426,137.4410085070108,13.0
COR,1402.831296005752,26.441008507010782,11.0
COR,1403.7514233086258,-71.55899149298922,10.0
COR,1408.7508509168401,113.44100850701078,9.0
COR,1408.7628511767834,91.44100850701078,8.0
COR,1408.7749514379539,93.44100850701078,9.0
HIRES,1410.0176777443849,-46.9,4.1
HIRES-pre04,1410.0179347493686,-48.76,1.640514
HIRES,1410.0179347493686,-54.4,3.3
HIRES,1410.0179377496243,-47.3,1.78
HIRES,1410.9686243562028,-66.3,3.8
HIRES-pre04,1410.9686243562028,-60.7,1.88976
HIRES,1410.968626356218,-60.86,1.71
HIRES,1410.9686963576823,-58.2,4.3
HIRES,1411.9387140003964,67.8,4.7
HIRES,1411.9389040032402,71.28,1.92
HIRES-pre04,1411.9389080032706,68.3,2.04814
HIRES,1411.9389080032706,62.7,4.1
ELODIE,1417.4918889882974,-85.53330564577983,11.0
ELODIE,1417.4918889882974,-89.736964943118,10.817736
COR,1417.7104909718037,-78.55899149298922,7.0
COR,1417.7225910807028,-91.55899149298922,7.0
COR,1418.7552997628227,59.44100850701078,12.0
COR,1418.7674998492002,-15.558991492989218,15.0
ELODIE,1421.4791153334081,-75.73697894311728,9.877408
ELODIE,1421.4791153334081,-71.53331964578094,10.0
ELODIE,1421.491715378128,-44.533320645781274,10.0
ELODIE,1421.491715378128,-48.73697994311762,10.009398
ELODIE,1423.4727198006585,48.466672354219995,9.0
ELODIE,1423.4727198006585,44.26301305688183,9.459872
