instrumento,bjd,vrad,svrad
ELODIE,2450681.533394603,-29.334268943116978,9.749162
ELODIE,2450681.533394603,-42.530609645780274,10.0
ELODIE,2451027.546106053,44.46812335422008,11.0
ELODIE,2451027.546106053,43.864464056882284,11.012725
ELODIE,2451027.5587065984,48.864464056882284,9.124825
ELODIE,2451027.5587065984,49.46812335422008,9.0
ELODIE,2451032.6169093954,5.064445056882039,9.239779
ELODIE,2451056.520696076,79.4643570568828,8.764591
ELODIE,2451056.520696076,73.46801635422024,9.0
ELODIE,2451087.4162006043,37.16424405688166,9.736213
ELODIE,2451087.4162006043,33.467903354220184,10.0
ELODIE,2451123.400875407,85.46777135421915,11.0
ELODIE,2451123.400875407,91.06411205688208,11.020628
ELODIE,2451153.24792493,-67.83599694311808,18.039849
ELODIE,2451154.2314382372,13.4676583542191,13.0
ELODIE,2451154.2314382372,15.163999056882393,13.289595
ELODIE,2451155.223250911,116.16399605688319,17.21309
ELODIE,2451156.2254627957,-53.532348645779635,10.0
ELODIE,2451156.2254627957,-51.83600794311816,10.088837
ELODIE,2451158.231086956,56.16398505688311,10.804749
ELODIE,2451158.231086956,54.467644354219814,11.0
HIRES-pre04,2451341.121418892,26.0,1.779262
HIRES,2451341.121418892,21.2,3.7
HIRES,2451341.1214228924,24.33,1.79
HIRES,2451341.121592907,27.4,4.3
ELODIE,2451352.5896412157,90.46327305688327,10.511027
ELODIE,2451352.5896412157,85.46693235421888,11.0
ELODIE,2451353.588521058,-32.53307164578065,10.0
ELODIE,2451353.588521058,-27.536730943118084,9.614954
ELODIE,2451354.591700702,-42.53307464577985,12.0
ELODIE,2451354.591700702,-37.536733943117284,11.539796
COR,2451355.84649947,98.44100850701078,7.0
COR,2451355.858600419,81.44100850701078,7.0
ELODIE,2451358.5986129493,14.463251056883099,15.197542
ELODIE,2451359.5960891186,73.46690635421918,12.0
ELODIE,2451359.5960891186,78.46324705688174,11.693885
ELODIE,2451360.572263014,0.4632440568825471,13.866464
ELODIE,2451360.572263014,-4.5330966457800175,14.0
ELODIE,2451361.5738381627,-59.533100645779555,9.0
ELODIE,2451361.5738381627,-54.53675994311699,8.922472
ELODIE,2451362.5920138364,71.46323605688166,9.414728
ELODIE,2451362.5920138364,66.46689535421909,9.0
COR,2451364.840078155,-79.55899149298922,9.0
COR,2451364.8520790213,-78.55899149298922,9.0
COR,2451365.837549852,32.44100850701078,10.0
COR,2451365.8496507164,42.44100850701078,11.0
COR,2451366.8440213962,89.44100850701078,8.0
COR,2451366.8561222493,70.44100850701078,8.0
COR,2451367.8660932,-58.55899149298922,14.0
HIRES,2451368.9447680744,-14.9,4.7
HIRES-pre04,2451368.945076096,-25.58,1.954586
HIRES,2451368.945076096,-30.8,4.0
HIRES,2451368.945078096,-25.37,2.11
HIRES,2451372.1379836733,-68.9,5.4
HIRES,2451372.138423702,-66.81,2.29
HIRES-pre04,2451372.1384277022,-67.23,2.200213
HIRES,2451372.1384277022,-72.5,4.3
HIRES-pre04,2451373.059970221,53.38,1.897833
HIRES,2451373.059970221,48.1,3.9
HIRES,2451373.0599742215,52.62,1.9
HIRES,2451373.060044226,63.4,4.2
HIRES,2451374.059108892,57.3,3.8
HIRES,2451374.0593289062,46.5,3.5
HIRES-pre04,2451374.0593289062,51.87,1.791134
HIRES,2451374.0593289062,52.3,1.79
COR,2451374.8616600484,-21.558991492989218,13.0
COR,2451374.8737608106,-30.558991492989218,11.0
COR,2451380.811619719,110.44100850701078,11.0
COR,2451380.82372041,86.44100850701078,12.0
COR,2451381.787975181,-28.558991492989218,9.0
COR,2451381.8000758607,-23.558991492989218,9.0
COR,2451382.805231854,-51.55899149298922,12.0
COR,2451382.8173325188,-52.55899149298922,10.0
COR,2451383.792185746,88.44100850701078,10.0
COR,2451383.804286399,81.44100850701078,11.0
COR,2451384.786638942,89.44100850701078,11.0
COR,2451384.7987395814,66.44100850701078,10.0
COR,2451385.7813910306,-63.55899149298922,9.0
COR,2451385.793491656,-48.55899149298922,9.0
COR,2451386.7807422145,1.441008507010781,9.0
COR,2451386.7928428263,16.441008507010782,9.0
COR,2451389.7889892273,-55.55899149298922,11.0
COR,2451389.8011897993,-40.55899149298922,11.0
ELODIE,2451390.5251236176,27.26313405688278,11.503571
ELODIE,2451390.5251236176,31.466793354219124,12.0
COR,2451390.7627345035,79.44100850701078,9.0
COR,2451390.774935063,66.44100850701078,9.0
ELODIE,2451391.5722713224,85.46678935421959,11.0
ELODIE,2451391.5722713224,81.26313005688324,10.82327
COR,2451391.7615797473,41.44100850701078,8.0
COR,2451391.773680287,39.44100850701078,8.0
ELODIE,2451392.480711607,-56.736872943117774,11.071184
ELODIE,2451392.480711607,-52.53321364577961,11.0
COR,2451392.750123317,-53.55899149298922,8.0
COR,2451392.762123839,-79.55899149298922,7.0
COR,2451393.766466846,19.441008507010782,9.0
COR,2451393.778467351,20.441008507010782,9.0
COR,2451394.76010815,87.44100850701078,9.0
COR,2451394.77210864,95.44100850701078,10.0
COR,2451395.803450159,13.441008507010782,9.0
COR,2451395.8154506288,-6.558991492989219,11.0
COR,2451398.8325641574,67.44100850701078,14.0
COR,2451399.7938978393,-95.55899149298922,12.0
COR,2451400.8136321846,-2.558991492989219,13.0
COR,2451401.7574627562,137.4410085070108,13.0
COR,2451402.8312960058,26.441008507010782,11.0
COR,2451403.7514233086,-71.55899149298922,10.0
COR,2451408.750850917,113.44100850701078,9.0
COR,2451408.762851177,91.44100850701078,8.0
COR,2451408.774951438,93.44100850701078,9.0
HIRES,2451410.0176777444,-46.9,4.1
HIRES-pre04,2451410.0179347494,-48.76,1.640514
HIRES,2451410.0179347494,-54.4,3.3
HIRES,2451410.0179377496,-47.3,1.78
HIRES,2451410.968624356,-66.3,3.8
HIRES-pre04,2451410.968624356,-60.7,1.88976
HIRES,2451410.968626356,-60.86,1.71
HIRES,2451410.9686963577,-58.2,4.3
HIRES,2451411.9387140004,67.8,4.7
HIRES,2451411.9389040032,71.28,1.92
HIRES-pre04,2451411.9389080033,68.3,2.04814
HIRES,2451411.9389080033,62.7,4.1
ELODIE,2451417.4918889883,-85.53330564577983,11.0
ELODIE,2451417.4918889883,-89.736964943118,10.817736
